id;chunk_size;chunk_overlap;top_k;temperature;model;score_f1;score_leyes
1;1024;200;15;0.1;llama3.2;"{""media"": 0.81, ""max"": 1.0, ""min"": 0.0, ""var"": 0.0989, ""std"": 0.3145}";"{""media"": 0.21, ""max"": 0.5, ""min"": 0.0, ""var"": 0.035, ""std"": 0.187}"
2;1024;200;15;0.1;qwen3:4b;"{""media"": 0.88, ""max"": 1.0, ""min"": 0.4, ""var"": 0.0381, ""std"": 0.1952}";N/A
3;1024;200;15;0.1;gemma3:4b;"{""media"": 0.87, ""max"": 1.0, ""min"": 0.33, ""var"": 0.0544, ""std"": 0.2333}";"{""media"": 0.28, ""max"": 0.8, ""min"": 0.0, ""var"": 0.0606, ""std"": 0.2463}"
4;800;100;3;0.1;gemma3:4b;"{""media"": 0.93, ""max"": 1.0, ""min"": 0.67, ""var"": 0.0194, ""std"": 0.1391}";"{""media"": 0.42, ""max"": 1.0, ""min"": 0.0, ""var"": 0.1414, ""std"": 0.376}"
5;800;100;3;0.1;qwen3:4b;"{""media"": 0.83, ""max"": 1.0, ""min"": 0.0, ""var"": 0.1279, ""std"": 0.3576}";N/A
6;800;100;3;0.1;llama3.2;"{""media"": 0.81, ""max"": 1.0, ""min"": 0.0, ""var"": 0.1013, ""std"": 0.3183}";"{""media"": 0.36, ""max"": 1.0, ""min"": 0.0, ""var"": 0.1165, ""std"": 0.3413}"
7;800;100;3;0.1;qwen3.5:4b;"{""media"": 0.95, ""max"": 1.0, ""min"": 0.8, ""var"": 0.0076, ""std"": 0.0874}";"{""media"": 0.53, ""max"": 1.0, ""min"": 0.17, ""var"": 0.0834, ""std"": 0.2888}"
