id;chunk_size;chunk_overlap;top_k;temperature;model;architecture;score_f1;score_leyes
1;256;50;15;0.1;gemma3:12b;xai;"{""media_score"": 0.97, ""max_score"": 1.0, ""min_score"": 0.67, ""global_var"": 0.0109, ""global_std"": 0.1044, ""avg_hallucinations"": 0.0, ""tiempo_total_ejecucion_seg"": 226.98}";"{""media_score"": 0.33, ""max_score"": 1.0, ""min_score"": 0.0, ""global_var"": 0.0941, ""global_std"": 0.3067, ""avg_hallucinations"": 0.0, ""tiempo_total_ejecucion_seg"": 440.05}"
2;256;50;15;0.1;llama3.1:8b;xai;"{""media_score"": 1.0, ""max_score"": 1.0, ""min_score"": 1.0, ""global_var"": 0.0, ""global_std"": 0.0, ""avg_hallucinations"": 0.0, ""tiempo_total_ejecucion_seg"": 168.93}";"{""media_score"": 0.45, ""max_score"": 1.0, ""min_score"": 0.0, ""global_var"": 0.0739, ""global_std"": 0.2719, ""avg_hallucinations"": 0.0, ""tiempo_total_ejecucion_seg"": 268.58}"
3;256;50;15;0.1;qwen3:8b;xai;"{""media_score"": 1.0, ""max_score"": 1.0, ""min_score"": 1.0, ""global_var"": 0.0, ""global_std"": 0.0, ""avg_hallucinations"": 0.0, ""tiempo_total_ejecucion_seg"": 410.46}";N/A
4;256;50;15;0.1;llama3.2:3b;xai;"{""media_score"": 0.83, ""max_score"": 1.0, ""min_score"": 0.45, ""global_var"": 0.0515, ""global_std"": 0.227, ""avg_hallucinations"": 0.0, ""tiempo_total_ejecucion_seg"": 1180.9}";"{""media_score"": 0.36, ""max_score"": 1.0, ""min_score"": 0.0, ""global_var"": 0.107, ""global_std"": 0.3271, ""avg_hallucinations"": 0.05, ""tiempo_total_ejecucion_seg"": 135.65}"
5;256;50;15;0.1;qwen2.5:7b;xai;"{""media_score"": 0.93, ""max_score"": 1.0, ""min_score"": 0.25, ""global_var"": 0.0563, ""global_std"": 0.2372, ""avg_hallucinations"": 0.0, ""tiempo_total_ejecucion_seg"": 203.28}";"{""media_score"": 0.39, ""max_score"": 1.0, ""min_score"": 0.0, ""global_var"": 0.1203, ""global_std"": 0.3468, ""avg_hallucinations"": 0.0, ""tiempo_total_ejecucion_seg"": 200.49}"
6;256;50;15;0.1;gemma3:27b;xai;"{""media_score"": 0.95, ""max_score"": 1.0, ""min_score"": 0.5, ""global_var"": 0.0227, ""global_std"": 0.1508, ""avg_hallucinations"": 0.0, ""tiempo_total_ejecucion_seg"": 592.79}";N/A
